kcet,college
83.76,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)"
83.351,"Prof. Ram Meghe Institute of Technology & Research, Amravati"
83.3431778,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai"
83.322,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai"
83.271,"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune"
83.16,"New Horizon Institute of Technology & Management, Thane"
82.89,"Annasaheb Dange College of Engineering and Technology, Ashta, Sangli"
82.25,"Deogiri Institute of Engineering and Management Studies, Aurangabad"
82.091,"Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology, Nagpur"
81.3,"D.Y. Patil College of Engineering and Technology, Kolhapur"
81.29,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon sta"
81.01,"Indira College of Engineering & Management, Pune"
80.45,"Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune"
80.3747784,"Sinhgad Academy of Engineering, Kondhwa (BK) Kondhwa-Saswad Road, Pune"
80.293,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik."
80.24,"Bajaj Institute of Technology, Wardha"
79.83,"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar."
79.48,"Shri Vile Parle Kelavani Mandal's Institute of Technology, Dhule"
79.452,"Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri"
79.4,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur"
78.4854138,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai"
78.32,"Government College of Engineering, Chandrapur"
78.038,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad"
77.65,"Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli"
77.3829715,"Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Engineering & Technology, Solapur"
77.382,"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik"
77.04,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad"
76.9893608,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel"
76.87,"Dr. D. Y. Patil School OF Engineering, Lohegaon, Pune"
76.73,"TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune"
76.4943074,"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon"
76.494,"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune"
76.494,"NBN Sinhgad Technical Institutes Campus, Pune"
76.2104005,"Shri Vithal Education and Research Institute's College of Engineering, Pandharpur"
76.078,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati"
76.07,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded."
75.09,"WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY, ULHASNAGAR"
75.09,"M.S. Bidve Engineering College, Latur"
74.9575984,"Pune District Education Association's College of Engineering, Pune"
74.95,"Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)"
74.48,"Universal College of Engineering,Kaman Dist. Palghar"
74.48,"Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli"
74.43,"Tatyasaheb Kore Institute of Engineering and Technology, Warananagar"
74.38,"Lokmanya Tilak Jankalyan Shikshan Sanstha's , Priyadarshini Institute of Engineering and Technology, Nagpur"
74.23,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar"
74.23,"Bharati Vidyapeeth's College of Engineering, Kolhapur"
73.689,"Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat"
73.63,"Dr. D. Y. Patil School of Engineering & Technology, Charholi(Bk), Via Lohgaon, Pune"
73.4187223,"Konkan Gyanpeeth College of Engineering, Karjat"
73.39,"Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur"
73.39,"Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara"
73.1435735,"Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur"
72.89,"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raig"
72.89,"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi"
72.541,"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune."
72.169513,"R. C. Patel Institute of Technology, Shirpur"
71.697,"Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon-Baramati"
70.55,"Jaidev Education Society, J D College of Engineering and Management, Nagpur"
70.2716961,"Department of Technology, Shivaji University, Kolhapur"
69.83,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon"
69.7947431,"Sant Gajanan Maharaj College of Engineering, Gadhinglaj"
69.758,"Sinhagad Institute of Technology, Lonavala"
69.72,"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur"
69.61,"Vishvatmak Jangli Maharaj Ashram Trust's Vishvatmak Om Gurudev College of Engineering, Mohili-Aghai, Shahpur."
69.4606229,"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri"
69.46,"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel"
69.44,"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune"
68.8352571,"Dnyanshree Institute Engineering and Technology, Satara"
68.83,"K.D.K. College of Engineering, Nagpur"
68.4657413,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal"
68.46,"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur"
68.46,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik"
68.4,"Priyadarshini Bhagwati College of Engineering, Harpur Nagar, Umred Road,Nagpur"
68.4,"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli"
68.4,"Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur"
68.306,"Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad"
68.3,"Nutan College of Engineering and Research, Talegaon Dabhade Tal. Maval, Pune"
68.227,"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati"
68.09318,"N. B. Navale Sinhgad College of Engineering, Kegaon, solapur"
68.09,"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik"
68.0660974,"D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,"
68.03,"Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon"
67.47,"Prof Ram Meghe College of Engineering and Management, Badnera"
66.94,"Anantrao Pawar College of Engineering & Research, Pune"
66.753,"Lokmanya Tilak Jankalyan Shiksan Sanstha, Priyadarshini Indira Gandhi College of Engineering, Nagpur"
66.75,"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, N"
66.52,ISBM College Of Engineering Pune
66.446,"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati"
66.44,"Guru Gobind Singh College of Engineering & Research Centre, Nashik."
66.1858,"S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur"
65.8820508,"Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi, Varye,Satara."
65.0496408,"S.S.P.M.'s College of Engineering, Kankavli"
64.9940968,"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule"
64.99,"Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik"
64.56,"Keystone School of Engineering, Pune"
64.56,"Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Karad"
64.3,"G. H. Raisoni Institute of Business Management,Jalgaon"
64.09,"Matoshri College of Engineering and Research Centre, Eklahare, Nashik"
64.008,"Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane"
63.99,"PUNE VIDYARTHI GRIHA’S COLLEGE OF ENGINEERING & SHRIKRUSHNA S. DHAMANKAR INSTITUTE OF MANAGEMENT,"
63.509,Rajendra Mane College of Engineering & Technology Ambav Deorukh
63.4,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon."
63.4,"CSMSS Chh. Shahu College of Engineering, Aurangabad"
63.4,"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune"
63.13,"Universal College of Engineering & Research, Sasewadi"
62.74,"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul), Neminagar,Chandwad,(Nashik)"
61.82,"Kavi Kulguru Institute of Technology & Science, Ramtek"
61.81,"Vidya Prasarini Sabha's College of Engineering & Technology, Lonavala"
60.4137126,"Nanasaheb Mahadik College of Engineering,Walwa, Sangli."
59.61,"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune"
59.3821221,"Ideal Institute of Technology, Wada, Dist.Thane"
59.318,"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur"
57.103,"Kai Amdar Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology, S"
56.68,"Suryodaya College of Engineering & Technology, Nagpur"
55.82,"Jaihind College Of Engineering,Kuran"
55.716,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali"
55.71,"Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik"
54.23,"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon"
53.5,"Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College of Engineering & Technology, Nag"
53.16,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur"
52.92,"SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune."
52.74,"Vishwabharati Academy's College of Engineering, Ahmednagar"
52.74,"Gramin College of Engineering, Vishnupuri, Nanded"
52.23,"K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik."
52.06,"Alard Charitable Trust's Alard College of Engineering and Management, Pune"
50.98,Rajiv Gandhi College of Engineering Research & Technology Chandrapur
50.426,"Shri Shivaji Education Society's College of Engineering and Technology, Akola"
49.79,"Khandesh College Education Society's College Of Engineering And Management, Jalgaon"
49.73,"Aurangabad College of Engineering, Naygaon Savangi, Aurangabad"
49.73,"Anjuman College of Engineering & Technology, Nagpur"
49.57,"Wainganga College of Engineering and Management, Dongargaon, Nagpur"
49.51,"Dr.Rajendra Gode Institute of Technology & Research, Amravati"
49.51,"Shri Gulabrao Deokar College of Engineering, Jalgaon"
49.51,"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, N"
48.14,"Shree Ramchandra College of Engineering, Lonikand,Pune"
47.77,Yadavrao Tasgaonkar College of Engineering & Management
47.7445862,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal"
46.3873813,"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar"
46.36,"Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor"
46.36,"Suman Ramesh Tulsiani Technical Campus: Faculty of Engineering, Kamshet,Pune."
46.342,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad"
46.34,"Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar"
46.34,"K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli"
45.79,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shri"
45.79,"Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi"
45.72,"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology, Nagpur"
44.808,"Holy-Wood Academy's Sanjeevan Engineering and Technology Institute, Panhala"
44.75,"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal"
44.4831302,"Yashoda Technical Campus, Wadhe, Satara."
44.48,"Bapurao Deshmukh College of Engineering, Sevagram"
